posisi,perusahaan,kota,provinsi,gaji,tools,pendidikan,pengalaman,deskripsi_lengkap,level
Revenue Assurance Analyst,PT Telkomsel Ekosistem Digital,Jakarta Selatan,Jakarta Raya,,"SQL, Tableau, Excel","Accounting, Business Administration, Finance",5,"About Us
INDICO is a digital technology subsidiary company of Telkomsel, Indonesia's leading digital telecom company. INDICO plays a strategic role as a holding company that houses current and prospective vertical digital business portfolios, including Kuncie (edu-tech), Fita (health-tech), and Majamojo (game). Moving forward, INDICO aims to explore opportunities in multiple verticals adjacent to Telkomsel’s digital businesses. As a digital platform company, INDICO aims to leverage Telkomsel’s digital assets and capabilities to create a flywheel effect of innovations to develop cross-sectoral digital solutions that will empower Indonesia’s digital economy.
INDICO believe we can reach beyond to empower Indonesians and enable businesses through our strong core values of EPIC WAY (Excellence, Positivity, Impactful Collaboration, Customer First, Walk the Talk, Accountability, Yes-if Mindset).
What you will do but not limited to:
Conduct data analysis to identify anomalies in billing and revenue processes.
Analyzing products to find misconfigurations and inconsistencies.
Perform regular audits of financial transactions and revenue reports.
Collaborate with cross-functional teams to address discrepancies and improve processes.
Develop and maintain revenue assurance policies and procedures.
Prepare and present detailed reports on revenue assurance findings and recommendations to management.
Monitor telecom revenue streams, ensuring compliance with company standards and industry regulations.
Work closely with finance and accounting teams to align on revenue recognition processes.
Identify opportunities for revenue enhancement and cost optimization.
Requirements
Bachelor's degree in Finance, Accounting, Business Administration, or a related field.
Has minimum 5 years of experience in Telco industry, experienced in Telco billing, Product management, Data Analytics and Cybersecurity.
Strong understanding of telecom billing product Managementems and revenue recognition practices.
Knowledge of regulatory frameworks governing revenue assurance.
Excellence communication skill, both in Bahasa and English.
Proficient in data analysis and visualization tools (e.g., Excel, SQL, Tableau).
Detail-oriented with exceptional analytical problem-solving skills.
Excellent communication, presentation, and interpersonal skills.
Self-motivated and able to work both independently and as part of a team.",Senior Level
Business Systems Analyst,Sun Life,Jakarta Utara,Jakarta Raya,,SQL,"Business Analytics, Computer Science, Information Systems, Mathematics",2,"You are as unique as your background, experience and point of view. Here, you'll be encouraged, empowered and challenged to be your best self. You'll work with dynamic colleagues - experts in their fields - who are eager to share their knowledge with you. Your leaders will inspire and help you reach your potential and soar to new heights. Every day, you'll have new and exciting opportunities to make life brighter for our Clients - who are at the heart of everything we do. Discover how you can make a difference in the lives of individuals, families and communities around the world.
Job Description:
Job description:
The position is responsible for the identification, analysis and development of business requirements for systems development projects; defining and reviewing the design of the proposed system solution; and testing, implementation and documentation of the supported systems used in the assigned business unit; and support for the production problems following the agreed time table and procedure.
Responsibilities:
Identifies areas for improvement/enhancement on existing system on new ones being developed
Determines, analyses, and transform business requirements to produce specifications at the system and programming levels
Facilitates change management by working with various business areas to address issues and potential impact and/or benefits of the changes in the proposed system.
Communicates with the developers for clarification of business requirements and reporting of errors found in the systems being supported
Identifies all possible test scenarios and prepares the test plan for the systems under development
Executes the test plan and conducts the acceptance testing for the developed programs as required.
Prepares and documents manual and system procedures in support of the business needs.
Provides post-implementation and production support for supported systems including analysis of production problems rose by business users
Conducts systems training for the business community as needed
Prepares progress reports within agreed time frames.
Prepares daily time charges reporting
Qualification:
University graduate with a degree in Information Systems, Business Analytics, Computer Science or Mathematics
2-4 years experience in IT field as Business or System Analyst
Knowledge in SDLC process - Initiating, Planning, Executing, Controlling and Closing
Preferably knowledgeable of SQL programming tools
Knowledge in the Life Insurance system and developing system documentations
Must be familiar with Office Automation tools such as MS Office, MS Project, Visio and Lotus Notes
Possesses strong analytical, conceptual skills, good verbal and written communication skills in English as well as good interpersonal skill
Job Category:
Business Analysis - Systems
Posting End Date:
30/12/2025",Mid Level
Junior System Analyst Gramedia,Kompas Gramedia - KG Media,Jakarta Barat,Jakarta Raya,,"API, SQL","Computer Science, Engineering",1,"Job Description
Berkolaborasi dengan developers, testers, project manager, dan business intelligence untuk membuat dan melakukan uji coba terhadap produk software yang dikembangkan.
Mengkomunikasikan termasuk membuat laporan terkait progres, status, risiko, dan isu dari pengembangan software.
Menganalisis masalah termasuk dalam memberikan solusi dari permasalahan software dengan efisien dan ramah pengguna (user-friendly).
Mengkoordinir ekspektasi dan umpan balik dari stakeholder atau pengguna dalam pemakaian software.
Minimum Qualifications
Pendidikan minimal S1 jurusan Ilmu Komputer atau Teknik.
Pengalaman minimal 1 tahun di bidang SME/Application Designer atau retail business
Pengetahuan mengenai software development methodologies, seperti agile, waterfall, scrum.
Memahami konsep PHP, SQL, dan API.
Familiar terhadap bahasa pemograman, databases, IDEs, dan testing tools.
Pengalaman dan memahami ERP lebih diutamakan.
Memiliki kemampuan analisis dan berpikir secara sistematis.",Entry Level
Sales & Market Development Analyst - REGION KALIMANTAN,PT Garudafood Putra Putri Jaya,Sambas,Kalimantan Barat,,Excel,Information Technology,1,"Sales & Market Development Analyst - REGION KALIMANTAN
Major
Semua Jurusan
Country
Indonesia
City
Banjarbaru-Kalimantan Selatan
Employment Type
Permanent
Position Level
Officer
Year of Experience
1-2 Tahun
Education Level
D3/S1
•Pendidikan Min. D3/S1 Sederajat •Minimal pengalaman di bidang Analisa Data •Menguasai Microsoft Excel, Formula, Pivot, dan Analisa Data •Memiliki loyalitas tinggi, mampu bekerja di  bawah tekakan, disipin, teliti dan jujur •Lokasi kerja di BANJARBARU",Entry Level
Business Analyst,Talent Fit Indonesia,Jakarta Selatan,Jakarta Raya,,"SQL, Tableau, Excel",,3,"Bachelor's degree majoring in Business, Finance, IT, or related fields
Minimum 3+ years of experience in business analysis and process improvement
Have a good skills in Excel, SQL, Tableau, or Power BIStrong analytical, problem-solving skills, and presentation abilities
Able to manage multiple tasks in a fast-paced environment
Eager to learn and stay current with industry trends
Proficiency in EnglishNote: Salary will be discussed during the interview.",Mid Level
Cyber Threat Intelligence Analyst,"PT. Bank Nationalnobu, tbk.",Tangerang,Banten,11000000,Tidak ada tools spesifik,Information Technology,0,"Company Description
PT Bank Nationalnobu Tbk (Nobu Bank) is committed to addressing the diverse needs of today's banking world. With a vision to reach global standards, the bank steadily enhances its products and services while consistently improving quality. Leveraging the rapid development of the digital world, Nobu Bank ensures its presence through ever-evolving electronic channels to meet the increasing mobile needs of society. Nobu Bank is licensed and regulated by the Financial Services Authority (OJK) and Bank Indonesia (BI), and is a member of the Deposit Insurance Corporation (LPS).
Role Description
This is a full-time on-site role for a Threat Intelligence Analyst located in Kecamatan Karawaci. The Threat Intelligence Analyst will be responsible for monitoring and analyzing cyber threats, creating threat assessments, and developing mitigation strategies. The analyst will also collect and analyze data from various sources to identify potential security risks, work closely with the cybersecurity team to enhance threat detection, and provide actionable intelligence to support incident response efforts. Additionally, the role involves staying informed about the latest cybersecurity trends and hacking techniques.
Qualifications
Experience in monitoring and analyzing cyber threats
Knowledge of threat assessment and mitigation strategies
Proficiency in data collection and analysis from various sources
Strong understanding of cybersecurity trends and hacking techniques
Excellent problem-solving and analytical skills
Ability to work well in a team and communicate effectively
Relevant certifications such as CEH, CISSP, or equivalent are a plus
Bachelor's degree in Cybersecurity, Information Technology, or a related field
Experience in the banking or financial sector is highly desirable
Fresh Graduates are welcome",Entry Level
Business Analyst,PT. Cxrus Solutions Indonesia,Tangerang,Banten,,Java,,3,"Job Description
To collect and analyze the business requirements of the customers or key users of the functions of software solutions and documents the requirements
Working on all the technical documentation such as FSD, TSD, test script, etc
Working closely with production team to ensure projects are developed as expected
Collaborate with sales team to work on project tender
Assisting the sales team in meeting with clients on technical aspect
Understand the basic knowledge of all the company's products
Initiatively learning and broaden knowledge on the company’s and partnership’s products
Initiatively learning on technologies related to BA such as automation testing etc
Understand knowledge on basic hardware infrastructure and framework architecture to support sales and service delivery
Initiatively sounding ideas to improve working system related to solution division
Following the company’s policy and regulation
Minimum Qualifications
At least 3 years of experience in Business / System Analyst work or equivalent
Good understanding in software solution design
Able to develop the Functional Specification Documentation based on the requirements of the client
Experience in middle to large enterprise implementation
Knowledge in Java will be an advantage
Excellent documentation, communications and presentation skill with customers
Self-motivated",Mid Level
[6 months contract] Data Analyst,Ruangguru.com,Jakarta Lainnya,Jakarta Raya,,"R, SQL, Looker, Python",Data Analytics,2,"Job Descriptions:
Perform data analysis to find actionable things such as making business recommendations through budget and conversion optimizations
Work with commercial, product and business operations teams to provide tracking and measurements of relevant KPIs using data, or make decisions to change direction.
Develop a deep understanding of the growth of ecosystems and user behavior with data to find opportunities that can influence business development and strategy.
Create and maintain Data Warehouse & Data Mart
Create and maintain dashboards & reporting by using a combination of ETL scripts, SQL, Spreadsheets, and BI tools e.g. Looker Studio.
Job Requirements:
2+ years of Data analytics experience.
Experience in scripting with SQL, extracting large sets of data, and design of ETL flows.
Experience using one or more Python and/or R programming languages is a plus
Experience with data and trends analysis, statistics, program evaluations, forecasting, and business insights.
Experience processing, filtering, and presenting large quantities of data.
Very good data and analytical skills including the ability to define and decompose relevant metrics and evaluate the corresponding impacts in the context
Independent learner, self-motivated, and willing to share knowledge with team members",Mid Level
Business Analyst,Renos.id,Jakarta Lainnya,Jakarta Raya,,"Looker, Power BI, Excel, Google Data Studio",Information Technology,4,"Job Description
Developing and managing business intelligence solutions for the Company.
Managing the data’s collection and Providing reports as single trust resources to stakeholder
Collaborating with team members for the purpose of collecting data and executing the company's mission
To make sure the quality and the consistency of data’s that would present to audience as required.
Analysing business requirements, processes, modelling and give the recommending them to the management and executives for implementation.
Identifying the development needs for the purpose of streamlining and improving the operations of the organization for efficiency and profitability by data driven process.
Minimum Qualifications
Have a degree in a relevant major, however we highlight good attitude as a top priority at Renos.
4-7 years related work experience as business analyst from well reputable e-commerce, marketplace, and online industries within similar function are preferred,
Have an experience as a data analyst in a leading consulting company is a plus
Mastering with Microsoft Excel is mandatory
Good understanding of Business Analyst tools such as Google data studio/looker & Power BI
Strong problem solving, presentation and communication skills
Resourceful, able to adapt to various situations, and teachable",Mid Level
Strategic Pricing Analyst,Pengiklan Anonim,Jakarta Timur,Jakarta Raya,,"SQL, Tableau, Python, R, Power BI, Excel","Economics, Industrial Engineering, Management, Statistics",3,"Level : Analis
Industri : Transportasi
Penempatan : HO, Jakarta Timur
Tugas & Tanggung Jawab
Melakukan analisis harga produk/jasa berdasarkan biaya operasional, tren pasar, kompetitor, dan proyeksi permintaan.
Mengembangkan dan mengevaluasi strategi harga yang mendukung peningkatan pendapatan serta daya saing perusahaan.
Menyusun model analisis harga menggunakan tools data analytics (SQL, Python/R, Excel, Tableau/Power BI).
Melakukan analisis spasial dengan GIS untuk mendukung perencanaan jaringan transportasi dan evaluasi rute.
Memantau dan menganalisis indikator kinerja transportasi (misalnya load factor, jarak tempuh, produktivitas).
Memberikan rekomendasi kebijakan harga yang aplikatif untuk mendukung efisiensi operasional dan peningkatan profitabilitas.
Berkolaborasi dengan tim Finance, Manajemen Strategi, Operasional, dan Marketing dalam penetapan kebijakan harga.
Menyusun laporan analisis harga dan menyajikan hasil dalam bentuk visualisasi yang mudah dipahami manajemen.
Melakukan evaluasi berkala atas efektivitas kebijakan harga yang diterapkan serta mengusulkan perbaikan berkelanjutan.
Menjaga akurasi, konsistensi, dan integritas data yang digunakan untuk pengambilan keputusan.
Kualifikasi
Pendidikan minimal S1 dari jurusan Ekonomi, Manajemen, Statistika, Teknik Industri, atau Perencanaan Wilayah & Kota.
Pengalaman kerja 2–3 tahun di bidang Analisis Harga, Keuangan, Transportasi, atau Pengembangan Strategi Harga.
Mahir menggunakan tools analisis data: SQL untuk query dan pengolahan data, GIS (spasial) untuk analisis wilayah dan jaringan, Python/R untuk analisis statistik dan pemodelan, Excel tingkat lanjut, dan Tableau/Power BI untuk visualisasi data.
Memahami dasar-dasar perencanaan jaringan transportasi dan indikator kinerja rute (load factor, jarak tempuh, produktivitas).
Memiliki kemampuan analitis dan berpikir kritis, teliti, serta mampu menyusun rekomendasi berbasis data yang praktis dan aplikatif.
Komunikatif dan mampu menyajikan hasil analisis dalam bentuk presentasi yang jelas kepada berbagai level pemangku kepentingan.
Adaptif terhadap perubahan, proaktif dalam mencari solusi, dan mampu bekerja dalam tim lintas fungsi.",Mid Level
Jr Manager Business Analyst,Indofood Group,Jakarta Selatan,Jakarta Raya,,"Power BI, SQL","Economics, Industrial Engineering, Statistics",5,"Persyaratan Pekerjaan
Pendidikan minimal S1 dari semua jurusan (lebih disukai dari jurusan yang berkaitan dengan Ekonomi, Statistik, atau Teknik Industri).
Pengalaman kerja minimal 5 tahun di bidang Business Analys atau Management Reporting.
Menguasai Power BI, Power Query, dan SQL secara mendalam.
Memiliki pemahaman yang baik terkait laporan keuangan dan indikator kinerja bisnis.
Kuat dalam daya analisa, pemecahan masalah, dan pengambilan keputusan berbasis data.
Kreatif dalam menyajikan informasi yang kompleks menjadi visualisasi yang mudah dipahami.
Deskripsi Pekerjaan
Posisi ini akan menjalankan tugas sebagai Management Services Business Analyst Asisstant Manager dengan tanggung jawab sebagai berikut :
Mengembangkan dan menangani laporan manajemen secara menyeluruh terkait perspective financial & customer, termasuk tabular report dan dashboard berbasis Power BI.
Menyajikan informasi operasional dan keuangan secara visual sesuai kerangka Balanced Scorecard.
Melakukan analisis mendalam terhadap data dan laporan manajemen.
Mendesain dan mengembangkan dashboard interaktif untuk kebutuhan pelaporan berkala dan ad-hoc.
Memastikan kualitas dan integritas data yang digunakan dalam proses pelaporan dan analisis.",Senior Level
Growth Analyst Intern,SEVEN Retail Group,Jakarta Selatan,Jakarta Raya,,"SQL, Google Analytics, Mixpanel, Excel",,,"Job Description:
Data Collection & Analysis
– Gather, clean, and analyze data from various sources to identify trends, patterns, and actionable insights.
Support Growth Initiatives
– Collaborate with cross-functional teams to provide data-driven recommendations that improve user acquisition, retention, and engagement.
Dashboards & Reporting
– Build and maintain dashboards to monitor KPIs and prepare regular reports to track progress of growth campaigns.
Requirements:
Proficiency in
data analysis tools
(Excel/Google Sheets, including VLOOKUP, Pivot Tables, and other advanced functions).
Experience with
SQL
is a plus.
Familiarity with analytics platforms such as
Google Analytics, Mixpanel, or Data Studio
is a plus.
Strong analytical thinking, problem-solving skills, and attention to detail.
Eagerness to learn and contribute in a fast-paced, growth-focused environment.",
Information Technology Business Analyst,PT Lentera Bangsa Benderang,Jakarta Selatan,Jakarta Raya,11000000,Tidak ada tools spesifik,,2,"Our insurance client is seeking an
IT Business Analyst
to join their team. This role is essential for mapping and automating business processes, gathering and translating business requirements, and developing test scenarios and cases. The ideal candidate will have a strong proficiency in data analysis and a keen attention to detail.
Responsibilities
Conduct thorough analysis of business processes to identify areas for improvement and automation.
Collaborate with stakeholders to gather, document, and translate business requirements into functional specifications.
Design and develop comprehensive test scenarios and test cases to ensure the accuracy and effectiveness of business solutions.
Perform detailed data analysis to support decision-making and identify trends or anomalies.
Ensure high attention to detail and accuracy in all aspects of work, including documentation and data analysis.
Provide ongoing support and troubleshooting for implemented business solutions.
Communicate effectively with team members and stakeholders to ensure alignment and understanding of project goals and deliverables.
Required Skills and Experience
Minimum of
2 years
of relevant experience in a similar role.
Bachelor's
degree (S1) in a related field such as Business, Finance, or Information Technology.
Proven experience in
business process mapping
and
automation
, with a strong understanding of methodologies and tools.
Demonstrated ability to
gather, document, and translate business requirements
into actionable plans.
Expertise in designing and developing
test scenarios
and
test cases
, with a focus on thoroughness and accuracy.
Proficiency in
data analysis
, including the ability to interpret complex data sets and provide actionable insights.
High attention to
detail and accuracy
, ensuring all work is meticulously checked and validated.
Preferred Qualifications
General Insurance knowledge as an advantage.
Available to join immediately.
Work Arrangement
Employment type: Outsourced-Contract.
Contract duration: 6 months (with extension possibility).
Location: South Jakarta.
Work type: On-Site/Work from Office (WFO).",Mid Level
Operation Development Analyst - Logistic,"PT Adi Sarana Armada, Tbk",Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,Jurusan Lainnya,,Bachelor’s degree in Business / Management,
Technology Solution Analyst,ASPEN - OCBC NISP,Tangerang,Banten,,Tidak ada tools spesifik,Information Technology,,"Job Description
Melakukan analisa requirement dari pemilik / pengguna software Bank dan memberikan solusi teknis agar dapat dikembangkan oleh tim engineer sesuai dengan waktu dan tujuan dari pemilik / pengguna yang telah disepakati dan sesuai dengan standarisasi bank.
Memastikan UAT skenario yang dibuat oleh user sudah lengkap sesuai dengan requirement user sebelum proses SIT dimulai (skenario positif dan negatif).
Melakukan project impact analysis (keterkaitan antar system) serta menggunakan konsep dan pola desain untuk mengembangkan desain perangkat lunak dan memberikan dasar bagi konstruksi dan verifikasi perangkat lunak di masa yang akan datang.
mengevaluasi solusi alternatif dan kompromi-kompromi terhadap desain aplikasi agar stakeholder dapat memberikan keputusan atas desain yang sedang dikembangkan.
mempertimbangkan requirement fungsional dan non-fungsional seperti performance, security (keamanan), dan integrasi antar sistem agar aplikasi berjalan efektif dan efisien dalam proses.
mengembangkan prototipe/simulasi untuk bisa di ujicoba kepada stakeholder, agar stakeholder memiliki keyakinan atas requirement yang diminta telah dikerjakan oleh Software Engineer.
Selalu mengadopsi dan mengadaptasi teknik dan teknologi terbaru dalam setiap project pengembangan aplikasi software dengan selalu meningkatkan kemampuan diri secara teknis dengan positive attitude serta senantiasa melakukan koordinasi yang intensif dengan para mentor dan atasan.
Mampu beradaptasi pada persyaratan dan karakteristik proyek atau pekerjaan yang ditugaskan, teknik desain perangkat lunak dapat berupa pendekatan prediktif (berbasis rencana) atau adaptif (berulang/agile), dengan mengutamakan efisiensi waktu dalam setiap pengembangan aplikasi software dan efektif dalam menggunakan tools-tools yang ada untuk mendukung pengembangan aplikasi software yang berkualitas dan dapat dihandalkan.
Dalam membuat desain aplikasi pengembangan software, selalu mempertimbangkan persyaratan regulasi baik internal maupun regulator dan memitigasi risiko yang akan dan telah terjadi.",
IT Business Analyst (FSI),PT Indocyber Global Teknologi,Jakarta Selatan,Jakarta Raya,,Excel,"Business Administration, Computer Science, Management",3,"Job Description
Gather, analyze, and document business and technical requirements from stakeholders.
Translate business needs into functional specifications for IT systems.
Collaborate with cross-functional teams to develop, test, and implement technology solutions.
Conduct gap analysis and propose improvements for business processes and IT systems.
Support the development of project documentation including business cases, user stories, workflows, and data models.
Assist in system testing, user acceptance testing (UAT), and ensure quality assurance.
Facilitate meetings, workshops, and presentations to communicate findings and solutions.
Monitor project progress and support change management activities.
Ensure that IT solutions align with business goals and comply with relevant regulations and standards.
Minimum Qualifications
Bachelor's degree or higher in Computer Science, Information Management, Business Administration or a related field
Minimum of 3 years of experience as a Business Analyst in Financial Services Industry
A solid understanding of the business processes and workflows in the Financial Services Industry (Banking, Insurance, Multifinance)
Experience in requirements gathering, functional specifications, and testing in a software development environment
Ability to analyze complex business requirements, propose innovative solutions, and create clear and concise documentation
Excellent communication and presentation skills with the ability to collaborate effectively with cross-functional teams, stakeholders, and customers
Experience in using tools such as JIRA, Confluence, and Visio is a plus
Fluent in English and Bahasa Indonesia both written and spoken
Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)",Mid Level
Business Analyst (Module Eproc),PT. Berca Hardayaperkasa,Jakarta Pusat,Jakarta Raya,8000000,"SQL, Oracle, SQL Server",Information Systems,3,"Job Responsibility:
• Gathering business requirement from customer
• Analyzing & designing best solution for customer
• Doing serial of testing on delivered solution
• Writing needed documentation based on project stage
Requirements:
• Minimum diploma in information system/information technology
• Knowledge in E-Procurement module proccess is a must
• Minimum 3 years experience in the same role
• Experience in SQL Programming (Oracle, SQL Server) is an advantage
• Experience in Enterprise Application implementation is an advantage
• Ability to work effectively in a team as well as independently
• Good communication & interpersonal skills
• Hard worker, fast learner and ready to work under pressure",Mid Level
"Senior Data Scientist (Analytics), Business Platform",Data Analytics,Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,Data Science,,"Get to Know the Team
We drive innovation and operational excellence by turning data into actionable strategies that elevate the end-to-end experience for consumers, driver-partners, and merchant-partners. From optimizing transaction flows and platform efficiency to enhancing reliability, we strive to make Grab the first choice, every time.
Get to Know the Role
You will report to the Product Analytics Manager, Business Platform and you'll have the unique opportunity to collaborate across disciplines (Product, Business, Engineering, Design, Data Science) to transform data into dynamic solutions. Your insights will directly contribute to developing groundbreaking products and initiatives, setting new benchmarks for excellence. This isn't just any role; it's a chance to make a tangible impact on millions of lives every day.
The Critical Tasks You Will Perform
You will understand our requirements and outcomes to ensure data-driven decision-making.
You will conduct tailored analyses for specific products and operations, define critical business metrics, track them rigorously, and recommend continuous improvements.
You will frame business scenarios and propose features that impact critical business processes and decisions.
You will transform requirements into concise insights through reports, presentations, and dashboards, and consolidate data from multiple sources to create comprehensive views for decision-making.
You will develop data pipelines and custom data science models to solve identified problems.
You will launch A/B tests, analyze the results, and provide recommendations based on your findings.
You will be a pioneer in the adoption of Gen AI across functions, and leverage Gen AI to optimize product features, business operations, and internal productivity.",
Junior Business Analyst,PT Niaga Manajemen Citra,Tangerang Selatan,Banten,10000000,SQL,"Computer Science, Informatics Engineering, Information Systems",2,"Tanggung Jawab Utama
Mengidentifikasi, mengumpulkan, dan menganalisis kebutuhan bisnis dari berbagai unit kerja.
Menyusun dokumentasi bisnis yang komprehensif (requirement, flow proses, BRD, laporan analisis).
Memberikan rekomendasi solusi berbasis data untuk peningkatan proses bisnis.
Mendukung implementasi proyek dan memastikan kebutuhan bisnis terakomodasi.
Berkoordinasi dengan stakeholder internal maupun eksternal secara efektif.
Kualifikasi yang Dibutuhkan
Pendidikan minimal S1 Teknik Informatika, Sistem Informasi, Ilmu Komputer, atau jurusan terkait.
Fresh graduate dipersilakan melamar, pengalaman 1–2 tahun sebagai BA/IT Support/IT Operation menjadi nilai tambah.
Memahami dasar-dasar analisis bisnis, alur proses bisnis, dan dokumentasi requirement.
Memiliki kemampuan analitis dan problem solving yang baik serta detail-oriented.
Memiliki pengetahuan SQL dasar, konsep database, serta familiar dengan software development lifecycle (SDLC).
Mampu membuat dokumentasi (flowchart, wireframe, atau use case diagram) menggunakan tools seperti Visio, Draw.io, atau Lucidchart.
Komunikatif, teliti, mampu bekerja dalam tim lintas divisi, dan cepat belajar.",Mid Level
Business Intelligence Analyst & Developer,Web Developer,Jakarta Lainnya,Jakarta Raya,,"SQL, Snowflake, Excel, PostgreSQL",,2,"Gambaran Umum Pekerjaan
Kami mencari
Business Intelligence Analyst & Developer
yang ahli dan berdedikasi untuk bergabung dengan tim kami di Jakarta. Dalam peran ini, Anda akan memainkan peran strategis dalam menganalisis dan mengembangkan solusi bisnis cerdas yang akan mendukung pertumbuhan dan pencapaian tujuan perusahaan kami. Ini adalah kesempatan bagi Anda untuk menerapkan keahlian analitis dan pengembangan Anda dalam lingkungan perusahaan teknologi yang cepat berubah dan inovatif.
Tanggung Jawab Utama
Menerjemahkan kebutuhan bisnis menjadi solusi data yang efektif
Mengeksplorasi data untuk menemukan tren & pola
Melakukan eksplorasi data untuk mengungkap pola dan tren
Membuat query SQL yang kuat untuk mendukung kebutuhan bisnis
Membuat visualisasi data yang jelas dan berdampak
Mendokumentasikan kebutuhan teknis
Mendukung pengujian SIT & UAT bersama pengguna utama
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
2+ tahun pengalaman di BI, analisis data, atau pelaporan
Kemampuan kuat dalam SQL & basis data (Snowflake, PostgreSQL, dll.)
Ahli dalam Excel & Google Sheets (pivot, rumus, visualisasi)
Mahir menggunakan alat BI (MicroStrategy menjadi nilai tambah)
Memiliki pola pikir analitis & pemecahan masalah yang tajam
Komunikator yang kuat di semua tingkatan
Teliti, detail, dan mampu menangani banyak tugas secara proaktif",Mid Level
Revenue Analyst | AYANA Midplaza JAKARTA,Ayana Hospitality,Jakarta Pusat,Jakarta Raya,,Excel,Jurusan Lainnya,2,"Analyze daily, weekly, and monthly revenue reports to provide insights and support decision-making.
Monitor and analyze market trends and competitor pricing to improve revenue strategies.
Support the Revenue Manager in executing pricing strategies and managing inventory to maximize revenue.
Work in collaboration with the sales and marketing teams to ensure consistency in strategies and objectives.
Prepare and deliver revenue forecasts and performance reports to aid in achieving departmental goals.
Perform regular audits of revenue management systems, tools, and websites, including both the hotel and OTAs.
Identify opportunities for increasing revenue and reducing costs within operational sectors.
Assess the effects of promotional activities post-implementation and provide constructive feedback.
Engage in weekly revenue management meetings to review performance and strategize.
Lead weekly revenue meetings in the absence of the Revenue Manager to maintain continuity.
Conduct on-demand financial analyses and assist with special projects as directed by management.
Collaborate closely with leaders of all revenue-generating departments to collect and evaluate business performance data.
Requirements
Up to 2 years of experience in the hospitality industry, ideally in Revenue Management, Marketing Analysis, or Reservations
Demonstrated strong analytical skills and the ability to interpret data
Preferred proficiency in MS Excel and MS PowerPoint, and Opera
Excellent communication and presentation abilities
A willingness to learn and adapt to various project requirements",Mid Level
Data Analyst / AI Engineer,PT. BPR Artha Karya Perdana,Samarinda,Kalimantan Timur,,"GCP, Kubernetes, API, SQL, Scikit-learn, PyTorch, AWS, Tableau, Python, Docker, R, Power BI, Excel, TensorFlow, Azure","Computer Science, Informatics Engineering, Mathematics, Statistics",3,"📍Lokasi Penempatan : Kota Samarinda, Kalimantan Timur
Deskripsi Pekerjaan
Mengumpulkan, membersihkan, dan menganalisis data dari berbagai sumber untuk menghasilkan insight bisnis.
Mendesain, membangun, dan mengimplementasikan model AI/ML (misalnya prediksi, rekomendasi, NLP, computer vision sesuai kebutuhan perusahaan).
Mengembangkan pipeline data (ETL) dan integrasi model AI ke dalam aplikasi/produk perusahaan.
Membuat dashboard, laporan, dan visualisasi data untuk mendukung pengambilan keputusan manajemen.
Berkolaborasi dengan tim IT, produk, dan bisnis dalam merancang solusi berbasis data dan AI.
Melakukan evaluasi model dan monitoring performa model di lingkungan produksi.
Kualifikasi
Pendidikan minimal S1 (Statistik, Matematika, Ilmu Komputer, Teknik Informatika, atau bidang terkait).
Memiliki pengalaman kerja 1–3 tahun di bidang data analysis, data science, atau machine learning (fresh graduate dengan portofolio proyek juga dipertimbangkan).
Menguasai
analisis data & statistik
: SQL, Excel, Python/R.
Menguasai
machine learning & AI tools
: Python (scikit-learn, TensorFlow, PyTorch), NLP/LLM, computer vision (sesuai fokus perusahaan).
Paham konsep
ETL, data pipeline, dan database
(SQL/NoSQL).
Terbiasa dengan tools visualisasi data (Power BI, Tableau, atau setara).
Memiliki kemampuan problem solving, logika analitis, dan komunikasi yang baik untuk menyampaikan insight ke non-teknis.
Nilai tambah: pengalaman dengan
cloud & MLOps
(AWS, GCP, Azure, Docker, Kubernetes, MLflow).
Kompetensi yang Dicari
Teknis
:
Data wrangling & preprocessing
Pemodelan machine learning & evaluasi
Pemrograman Python/SQL
Data visualization & storytelling
Deployment AI model (API, cloud, apps)
Non-teknis (soft skills)
:
Analytical thinking
Problem-solving & inovasi
Kemampuan kolaborasi lintas divisi
Adaptasi cepat terhadap tools/teknologi baru
Komunikasi jelas untuk menjembatani tim teknis & bisnis
Kenapa Bergabung dengan Bank AKP?
Karena ekspansi dan pembukaan cabang baru yang pesat, jenjang karier Anda di Bank AKP akan semakin terbuka lebar dengan peluang promosi yang lebih cepat bagi karyawan berprestasi dan berdedikasi. Kami memberikan ruang bagi Anda untuk berkembang dan berkontribusi langsung dalam pertumbuhan perusahaan.
Selain itu, kami menyediakan:
Gaji pokok kompetitif dan insentif menarik berdasarkan performa.
Tunjangan transportasi, komunikasi, dan kesehatan.
Program pelatihan pengembangan profesional.
Lingkungan kerja yang suportif dan dinamis.",Mid Level
